artist,song
Drake Featuring Future & Young Thug,Way 2 Sexy
Drake Featuring Lil Baby,Girls Want Girls
Drake Featuring Travis Scott,Fair Trade
Drake,Champagne Poetry
Drake Featuring 21 Savage & Project Pat,Knife Talk
The Kid LAROI & Justin Bieber,Stay
Drake Featuring Lil Durk & Giveon,In The Bible
Drake,Papi's Home
Drake,TSU
Drake Featuring JAY-Z,Love All
Drake,No Friends In The Industry
Drake Featuring Future,N 2 Deep
Ed Sheeran,Bad Habits
Drake,Pipe Down
Olivia Rodrigo,Good 4 U
Drake,7am On Bridle Path
BTS,Butter
Drake,Race My Mind
Doja Cat Featuring SZA,Kiss Me More
Lil Nas X & Jack Harlow,Industry Baby
Walker Hayes,Fancy Like
Drake Featuring Kid Cudi,IMY2
Dua Lipa,Levitating
Drake & YEBBA,Yebba's Heartbreak
Drake Featuring Lil Wayne & Rick Ross,You Only Live Twice
Drake Featuring Tems,Fountains
Drake Featuring Ty Dolla $ign,Get Along Better
The Weeknd & Ariana Grande,Save Your Tears
Kanye West,Hurricane
Lil Nas X,Montero (Call Me By Your Name)
Olivia Rodrigo,Deja Vu
Drake,Fucking Fans
Glass Animals,Heat Waves
Wizkid Featuring Justin Bieber & Tems,Essence
Drake,The Remorse
Doja Cat & The Weeknd,You Right
The Weeknd,Take My Breath
Doja Cat,Need To Know
Maneskin,Beggin'
Marshmello X Jonas Brothers,Leave Before You Love Me
Kanye West,Off The Grid
Billie Eilish,Happier Than Ever
Jason Aldean & Carrie Underwood,If I Didn't Love You
Baby Keem & Kendrick Lamar,Family Ties
Farruko,Pepas
Silk Sonic (Bruno Mars & Anderson .Paak),Leave The Door Open
Justin Bieber Featuring Daniel Caesar & Giveon,Peaches
Luke Bryan,Waves
Olivia Rodrigo,Traitor
Kanye West,Moon
Lainey Wilson,Things A Man Oughta Know
Thomas Rhett,Country Again
Ryan Hurd With Maren Morris,Chasing After You
Duncan Laurence,Arcade
Lizzo Featuring Cardi B,Rumors
Jameson Rodgers Featuring Luke Combs,Cold Beer Calling My Name
Megan Thee Stallion,Thot Shit
Kanye West,Jail
Roddy Ricch,Late At Night
Tai Verdes,A-O-K
Old Dominion,I Was On A Boat That Day
Moneybagg Yo,Wockesha
Meek Mill Featuring Lil Baby & Lil Durk,Sharing Locations
DJ Khaled Featuring Lil Baby & Lil Durk,Every Chance I Get
Kanye West,Ok Ok
Kanye West,Praise God
Silk Sonic (Bruno Mars & Anderson .Paak),Skate
BIA Featuring Nicki Minaj,Whole Lotta Money
Dua Lipa,Love Again
Lee Brice,Memory I Don't Mess With
Chase Rice Featuring Florida Georgia Line,Drinkin' Beer. Talkin' God. Amen.
Scotty McCreery,You Time
Rauw Alejandro,Todo de Ti
Jordan Davis Featuring Luke Bryan,Buy Dirt
Sleepy Hallow,2055
Luke Combs,Cold As You
Aventura x Bad Bunny,Volvi
Kanye West,Junya
Elle King & Miranda Lambert,Drunk (And I Don't Wanna Go Home)
Doja Cat,Woman
Justin Moore,We Didn't Have Much
Capella Grey,Gyalis
Normani Featuring Cardi B,Wild Side
Bad Bunny,Yonaguni
Kanye West,Believe What I Say
Kane Brown X blackbear,Memory
Meek Mill Featuring Lil Uzi Vert,Blue Note$ II
Doja Cat,Get Into It (Yuh)
Elvie Shane,My Boy
Cole Swindell,Single Saturday Night
Kanye West,Jonah
Chris Stapleton,You Should Probably Leave
Camila Cabello,Don't Go Yet
Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,Thinking 'Bout You
Kanye West,Jesus Lord
Shawn Mendes & Tainy,Summer Of Love
Doja Cat,Ain't Shit
Post Malone,Motley Crew
Kanye West,Remote Control
"Yung Bleu, Chris Brown & 2 Chainz",Baddest
